0,0.00047123
0.01,0.0042405
0.02,0.017431
0.03,0.043811
0.04,0.076794
0.05,0.1032
0.06,0.11644
0.07,0.12026
0.08,0.12078
0.09,0.1208
0.1,0.12076
0.11,0.12067
0.12,0.12052
0.13,0.1203
0.14,0.12004
0.15,0.11976
0.16,0.11946
0.17,0.11915
0.18,0.11885
0.19,0.11861
0.2,0.1184
0.21,0.11824
0.22,0.11813
0.23,0.11809
0.24,0.11811
0.25,0.11821
0.26,0.11838
0.27,0.11859
0.28,0.11883
0.29,0.1191
0.3,0.11941
0.31,0.11973
0.32,0.12005
0.33,0.12035
0.34,0.1206
0.35,0.1208
0.36,0.12093
0.37,0.12099
0.38,0.12098
0.39,0.12091
0.4,0.12081
0.41,0.12068
0.42,0.12049
0.43,0.12026
0.44,0.11998
0.45,0.11966
0.46,0.11935
0.47,0.11908
0.48,0.11887
0.49,0.11872
0.5,0.11863
0.51,0.11862
0.52,0.11865
0.53,0.11874
0.54,0.11887
0.55,0.11904
0.56,0.11925
0.57,0.1195
0.58,0.11979
0.59,0.12009
0.6,0.12037
0.61,0.12061
0.62,0.12083
0.63,0.121
0.64,0.12116
0.65,0.12127
0.66,0.12131
0.67,0.12128
0.68,0.12119
0.69,0.12104
0.7,0.12086
0.71,0.12067
0.72,0.12049
0.73,0.12029
0.74,0.12009
0.75,0.1199
0.76,0.11974
0.77,0.11963
0.78,0.11959
0.79,0.11961
0.8,0.11969
0.81,0.11981
0.82,0.11997
0.83,0.12016
0.84,0.12035
0.85,0.12055
0.86,0.12077
0.87,0.12098
0.88,0.1212
0.89,0.12141
0.9,0.12158
0.91,0.1217
0.92,0.12175
0.93,0.12175
0.94,0.12168
0.95,0.12157
0.96,0.12143
0.97,0.12127
0.98,0.12107
0.99,0.12085
1,0.12064
1.01,0.12044
1.02,0.12025
1.03,0.12011
1.04,0.12
1.05,0.1199
1.06,0.11984
1.07,0.11984
1.08,0.11989
1.09,0.11999
1.1,0.12014
1.11,0.12033
1.12,0.12052
1.13,0.12071
1.14,0.12092
1.15,0.12112
1.16,0.12132
1.17,0.12152
1.18,0.12168
1.19,0.12179
1.2,0.12185
1.21,0.12186
1.22,0.12184
1.23,0.12178
1.24,0.1217
1.25,0.12158
1.26,0.12142
1.27,0.12126
1.28,0.1211
1.29,0.12096
1.3,0.12084
1.31,0.12075
1.32,0.12069
1.33,0.12066
1.34,0.12068
